,Sigla,Início Vigência,Fim Vigência,Subgrupo,Modalidade,Posto,Unidade,TUSD,TE
815,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde APE,Não se aplica,R$/kW,14.12,0.0
817,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde,Não se aplica,R$/kW,14.12,0.0
819,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde,Ponta seca,R$/MWh,858.06,307.38
821,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde,Ponta úmida,R$/MWh,858.06,274.62
823,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul APE,Fora ponta,R$/kW,14.13,0.0
825,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Fora ponta,R$/kW,14.13,0.0
826,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Fora ponta,R$/MWh,-122.63,0.0
829,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Fora ponta seca,R$/MWh,-122.63,178.35
831,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Fora ponta úmida,R$/MWh,-122.63,159.34
833,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul APE,Ponta,R$/kW,42.39,0.0
835,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Ponta,R$/kW,42.39,0.0
836,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Ponta,R$/MWh,-122.63,0.0
839,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Ponta seca,R$/MWh,-122.63,307.38
841,CEA Equatorial,2013-01-24,2013-11-29,A4,Azul,Ponta úmida,R$/MWh,-122.63,274.62
849,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde,Fora ponta seca,R$/MWh,-122.63,178.35
851,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde,Fora ponta úmida,R$/MWh,-122.63,159.34
853,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde APE,Não se aplica,R$/kW,14.13,0.0
855,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde,Não se aplica,R$/kW,14.13,0.0
857,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde,Ponta seca,R$/MWh,861.62,307.38
859,CEA Equatorial,2013-01-24,2013-11-29,A4,Verde,Ponta úmida,R$/MWh,861.62,274.62
903,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul APE,Fora ponta,R$/kW,2.44,0.0
905,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul APE,Fora ponta,R$/MWh,58.62,0.0
907,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul,Fora ponta,R$/kW,2.44,0.0
909,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul,Fora ponta,R$/MWh,58.63,143.68
911,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul APE,Ponta,R$/kW,8.91,0.0
913,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul APE,Ponta,R$/MWh,58.62,0.0
915,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul,Ponta,R$/kW,8.91,0.0
917,CEA Equatorial,2015-02-04,2015-11-29,A3,Azul,Ponta,R$/MWh,58.63,246.05
923,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul APE,Fora ponta,R$/kW,3.55,0.0
925,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul APE,Fora ponta,R$/MWh,68.59,0.0
927,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul,Fora ponta,R$/kW,3.55,0.0
929,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul,Fora ponta,R$/MWh,68.6,143.68
931,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul APE,Ponta,R$/kW,10.65,0.0
933,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul APE,Ponta,R$/MWh,68.59,0.0
935,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul,Ponta,R$/kW,10.65,0.0
937,CEA Equatorial,2015-02-04,2015-11-29,A3a,Azul,Ponta,R$/MWh,68.6,246.05
943,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde APE,Fora ponta,R$/MWh,68.59,0.0
945,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde,Fora ponta,R$/MWh,68.6,143.68
947,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde APE,Não se aplica,R$/kW,3.55,0.0
949,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde,Não se aplica,R$/kW,3.55,0.0
951,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde APE,Ponta,R$/MWh,326.63,0.0
953,CEA Equatorial,2015-02-04,2015-11-29,A3a,Verde,Ponta,R$/MWh,326.64,246.05
955,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul APE,Fora ponta,R$/kW,3.55,0.0
957,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul APE,Fora ponta,R$/MWh,68.59,0.0
959,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul,Fora ponta,R$/kW,3.55,0.0
961,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul,Fora ponta,R$/MWh,68.6,143.68
963,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul APE,Ponta,R$/kW,10.65,0.0
965,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul APE,Ponta,R$/MWh,68.59,0.0
967,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul,Ponta,R$/kW,10.65,0.0
969,CEA Equatorial,2015-02-04,2015-11-29,A4,Azul,Ponta,R$/MWh,68.6,246.05
975,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde APE,Fora ponta,R$/MWh,68.59,0.0
977,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde,Fora ponta,R$/MWh,68.6,143.68
979,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde APE,Não se aplica,R$/kW,3.55,0.0
981,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde,Não se aplica,R$/kW,3.55,0.0
983,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde APE,Ponta,R$/MWh,326.63,0.0
985,CEA Equatorial,2015-02-04,2015-11-29,A4,Verde,Ponta,R$/MWh,326.64,246.05
1033,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul APE,Fora ponta,R$/kW,3.93,0.0
1035,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul APE,Fora ponta,R$/MWh,42.9,0.0
1037,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul,Fora ponta,R$/kW,3.93,0.0
1039,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul,Fora ponta,R$/MWh,52.44,113.1
1041,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul APE,Ponta,R$/kW,11.88,0.0
1043,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul APE,Ponta,R$/MWh,42.9,0.0
1045,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul,Ponta,R$/kW,11.88,0.0
1047,CEA Equatorial,2015-11-30,2016-11-29,A3,Azul,Ponta,R$/MWh,52.44,192.94
1049,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul APE,Fora ponta,R$/kW,5.27,0.0
1051,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul APE,Fora ponta,R$/MWh,46.91,0.0
1053,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul,Fora ponta,R$/kW,5.27,0.0
1055,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul,Fora ponta,R$/MWh,56.45,113.1
1057,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul APE,Ponta,R$/kW,13.98,0.0
1059,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul APE,Ponta,R$/MWh,46.91,0.0
1061,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul,Ponta,R$/kW,13.98,0.0
1063,CEA Equatorial,2015-11-30,2016-11-29,A3a,Azul,Ponta,R$/MWh,56.45,192.94
1069,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde APE,Fora ponta,R$/MWh,46.91,0.0
1071,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde,Fora ponta,R$/MWh,56.45,113.1
1073,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde APE,Não se aplica,R$/kW,5.27,0.0
1075,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde,Não se aplica,R$/kW,5.27,0.0
1077,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde APE,Ponta,R$/MWh,385.42,0.0
1079,CEA Equatorial,2015-11-30,2016-11-29,A3a,Verde,Ponta,R$/MWh,394.97,192.94
1081,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul APE,Fora ponta,R$/kW,5.27,0.0
1083,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul APE,Fora ponta,R$/MWh,46.91,0.0
1085,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul,Fora ponta,R$/kW,5.27,0.0
1087,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul,Fora ponta,R$/MWh,56.45,113.1
1089,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul APE,Ponta,R$/kW,13.98,0.0
1091,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul APE,Ponta,R$/MWh,46.91,0.0
1093,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul,Ponta,R$/kW,13.98,0.0
1095,CEA Equatorial,2015-11-30,2016-11-29,A4,Azul,Ponta,R$/MWh,56.45,192.94
1101,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde APE,Fora ponta,R$/MWh,46.91,0.0
1103,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde,Fora ponta,R$/MWh,56.45,113.1
1105,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde APE,Não se aplica,R$/kW,5.27,0.0
1107,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde,Não se aplica,R$/kW,5.27,0.0
1109,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde APE,Ponta,R$/MWh,385.42,0.0
1111,CEA Equatorial,2015-11-30,2016-11-29,A4,Verde,Ponta,R$/MWh,394.97,192.94
1159,Cedrap,2010-08-31,2011-08-30,A4,Azul APE,Fora ponta,R$/kW,11.88,0.0
1161,Cedrap,2010-08-31,2011-08-30,A4,Azul,Fora ponta,R$/kW,11.88,0.0
1163,Cedrap,2010-08-31,2011-08-30,A4,Azul,Fora ponta,R$/MWh,28.35,0.0
1165,Cedrap,2010-08-31,2011-08-30,A4,Azul,Fora ponta seca,R$/MWh,28.35,142.89
1167,Cedrap,2010-08-31,2011-08-30,A4,Azul,Fora ponta úmida,R$/MWh,28.35,127.67
1169,Cedrap,2010-08-31,2011-08-30,A4,Azul APE,Ponta,R$/kW,49.59,0.0
1171,Cedrap,2010-08-31,2011-08-30,A4,Azul,Ponta,R$/kW,49.59,0.0
1173,Cedrap,2010-08-31,2011-08-30,A4,Azul,Ponta,R$/MWh,28.35,0.0
1175,Cedrap,2010-08-31,2011-08-30,A4,Azul,Ponta seca,R$/MWh,28.35,246.3
1177,Cedrap,2010-08-31,2011-08-30,A4,Azul,Ponta úmida,R$/MWh,28.35,220.04
1185,Cedrap,2010-08-31,2011-08-30,A4,Verde,Fora ponta seca,R$/MWh,27.32,142.89
1187,Cedrap,2010-08-31,2011-08-30,A4,Verde,Fora ponta úmida,R$/MWh,27.32,127.67
1189,Cedrap,2010-08-31,2011-08-30,A4,Verde APE,Não se aplica,R$/kW,11.88,0.0
1191,Cedrap,2010-08-31,2011-08-30,A4,Verde,Não se aplica,R$/kW,11.88,0.0
1193,Cedrap,2010-08-31,2011-08-30,A4,Verde,Ponta seca,R$/MWh,1136.78,246.3
1195,Cedrap,2010-08-31,2011-08-30,A4,Verde,Ponta úmida,R$/MWh,1136.78,220.04
1213,Cedrap,2011-08-31,2012-08-30,A4,Azul APE,Fora ponta,R$/kW,13.55,0.0
1215,Cedrap,2011-08-31,2012-08-30,A4,Azul,Fora ponta,R$/kW,13.55,0.0
1217,Cedrap,2011-08-31,2012-08-30,A4,Azul,Fora ponta,R$/MWh,32.33,0.0
1219,Cedrap,2011-08-31,2012-08-30,A4,Azul,Fora ponta seca,R$/MWh,32.33,162.98
1221,Cedrap,2011-08-31,2012-08-30,A4,Azul,Fora ponta úmida,R$/MWh,32.33,145.62
1223,Cedrap,2011-08-31,2012-08-30,A4,Azul APE,Ponta,R$/kW,56.56,0.0
1225,Cedrap,2011-08-31,2012-08-30,A4,Azul,Ponta,R$/kW,56.56,0.0
1227,Cedrap,2011-08-31,2012-08-30,A4,Azul,Ponta,R$/MWh,32.33,0.0
1229,Cedrap,2011-08-31,2012-08-30,A4,Azul,Ponta seca,R$/MWh,32.33,280.93
1231,Cedrap,2011-08-31,2012-08-30,A4,Azul,Ponta úmida,R$/MWh,32.33,250.98
1237,Cedrap,2011-08-31,2012-08-30,A4,Verde,Fora ponta seca,R$/MWh,31.16,162.98
1239,Cedrap,2011-08-31,2012-08-30,A4,Verde,Fora ponta úmida,R$/MWh,31.16,145.62
1241,Cedrap,2011-08-31,2012-08-30,A4,Verde APE,Não se aplica,R$/kW,13.55,0.0
1243,Cedrap,2011-08-31,2012-08-30,A4,Verde,Não se aplica,R$/kW,13.55,0.0
1245,Cedrap,2011-08-31,2012-08-30,A4,Verde,Ponta seca,R$/MWh,1296.61,280.93
1247,Cedrap,2011-08-31,2012-08-30,A4,Verde,Ponta úmida,R$/MWh,1296.61,250.98
1266,Cedrap,2012-08-31,2013-07-18,A4,Azul APE,Fora ponta,R$/kW,10.22,0.0
1268,Cedrap,2012-08-31,2013-07-18,A4,Azul,Fora ponta,R$/kW,10.22,0.0
1270,Cedrap,2012-08-31,2013-07-18,A4,Azul,Fora ponta,R$/MWh,24.4,0.0
1272,Cedrap,2012-08-31,2013-07-18,A4,Azul,Fora ponta seca,R$/MWh,24.4,123.01
1274,Cedrap,2012-08-31,2013-07-18,A4,Azul,Fora ponta úmida,R$/MWh,24.4,109.91
1276,Cedrap,2012-08-31,2013-07-18,A4,Azul APE,Ponta,R$/kW,42.69,0.0
1278,Cedrap,2012-08-31,2013-07-18,A4,Azul,Ponta,R$/kW,42.69,0.0
1280,Cedrap,2012-08-31,2013-07-18,A4,Azul,Ponta,R$/MWh,24.4,0.0
1282,Cedrap,2012-08-31,2013-07-18,A4,Azul,Ponta seca,R$/MWh,24.4,212.04
1284,Cedrap,2012-08-31,2013-07-18,A4,Azul,Ponta úmida,R$/MWh,24.4,189.43
1290,Cedrap,2012-08-31,2013-07-18,A4,Verde,Fora ponta seca,R$/MWh,23.52,123.01
1292,Cedrap,2012-08-31,2013-07-18,A4,Verde,Fora ponta úmida,R$/MWh,23.52,109.91
1294,Cedrap,2012-08-31,2013-07-18,A4,Verde APE,Não se aplica,R$/kW,10.22,0.0
1296,Cedrap,2012-08-31,2013-07-18,A4,Verde,Não se aplica,R$/kW,10.22,0.0
1298,Cedrap,2012-08-31,2013-07-18,A4,Verde,Ponta seca,R$/MWh,978.65,212.04
1300,Cedrap,2012-08-31,2013-07-18,A4,Verde,Ponta úmida,R$/MWh,978.65,189.43
1318,Cedrap,2013-07-19,2013-08-30,A4,Azul APE,Fora ponta,R$/kW,8.33,0.0
1320,Cedrap,2013-07-19,2013-08-30,A4,Azul,Fora ponta,R$/kW,8.33,0.0
1322,Cedrap,2013-07-19,2013-08-30,A4,Azul,Fora ponta,R$/MWh,19.87,0.0
1324,Cedrap,2013-07-19,2013-08-30,A4,Azul,Fora ponta seca,R$/MWh,19.87,100.17
1326,Cedrap,2013-07-19,2013-08-30,A4,Azul,Fora ponta úmida,R$/MWh,19.87,89.51
1328,Cedrap,2013-07-19,2013-08-30,A4,Azul APE,Ponta,R$/kW,34.76,0.0
1330,Cedrap,2013-07-19,2013-08-30,A4,Azul,Ponta,R$/kW,34.76,0.0
1332,Cedrap,2013-07-19,2013-08-30,A4,Azul,Ponta,R$/MWh,19.87,0.0
1334,Cedrap,2013-07-19,2013-08-30,A4,Azul,Ponta seca,R$/MWh,19.87,172.67
1336,Cedrap,2013-07-19,2013-08-30,A4,Azul,Ponta úmida,R$/MWh,19.87,154.26
1342,Cedrap,2013-07-19,2013-08-30,A4,Verde,Fora ponta seca,R$/MWh,19.15,100.17
1344,Cedrap,2013-07-19,2013-08-30,A4,Verde,Fora ponta úmida,R$/MWh,19.15,89.51
1346,Cedrap,2013-07-19,2013-08-30,A4,Verde APE,Não se aplica,R$/kW,8.33,0.0
1348,Cedrap,2013-07-19,2013-08-30,A4,Verde,Não se aplica,R$/kW,8.33,0.0
1350,Cedrap,2013-07-19,2013-08-30,A4,Verde,Ponta seca,R$/MWh,796.95,172.67
1352,Cedrap,2013-07-19,2013-08-30,A4,Verde,Ponta úmida,R$/MWh,796.95,154.26
1369,Cedrap,2013-08-31,2014-08-30,A4,Azul APE,Fora ponta,R$/kW,5.14,0.0
1371,Cedrap,2013-08-31,2014-08-30,A4,Azul,Fora ponta,R$/kW,5.14,0.0
1373,Cedrap,2013-08-31,2014-08-30,A4,Azul,Fora ponta,R$/MWh,132.17,41.84
1375,Cedrap,2013-08-31,2014-08-30,A4,Azul APE,Ponta,R$/kW,18.39,0.0
1377,Cedrap,2013-08-31,2014-08-30,A4,Azul,Ponta,R$/kW,18.39,0.0
1379,Cedrap,2013-08-31,2014-08-30,A4,Azul,Ponta,R$/MWh,207.56,71.68
1385,Cedrap,2013-08-31,2014-08-30,A4,Verde APE,Fora ponta,R$/MWh,130.6,0.0
1387,Cedrap,2013-08-31,2014-08-30,A4,Verde,Fora ponta,R$/MWh,132.17,41.84
1389,Cedrap,2013-08-31,2014-08-30,A4,Verde APE,Não se aplica,R$/kW,5.14,0.0
1391,Cedrap,2013-08-31,2014-08-30,A4,Verde,Não se aplica,R$/kW,5.14,0.0
1393,Cedrap,2013-08-31,2014-08-30,A4,Verde APE,Ponta,R$/MWh,648.42,0.0
1395,Cedrap,2013-08-31,2014-08-30,A4,Verde,Ponta,R$/MWh,649.98,71.68
1443,Cedrap,2014-08-31,2015-08-30,A4,Azul APE,Fora ponta,R$/kW,5.52,0.0
1445,Cedrap,2014-08-31,2015-08-30,A4,Azul,Fora ponta,R$/kW,5.52,0.0
1447,Cedrap,2014-08-31,2015-08-30,A4,Azul,Fora ponta,R$/MWh,147.42,53.54
1449,Cedrap,2014-08-31,2015-08-30,A4,Azul APE,Ponta,R$/kW,19.76,0.0
1451,Cedrap,2014-08-31,2015-08-30,A4,Azul,Ponta,R$/kW,19.76,0.0
1453,Cedrap,2014-08-31,2015-08-30,A4,Azul,Ponta,R$/MWh,225.1,91.68
1461,Cedrap,2014-08-31,2015-08-30,A4,Verde APE,Fora ponta,R$/MWh,136.32,0.0
1463,Cedrap,2014-08-31,2015-08-30,A4,Verde,Fora ponta,R$/MWh,147.42,53.54
1465,Cedrap,2014-08-31,2015-08-30,A4,Verde APE,Não se aplica,R$/kW,5.52,0.0
1467,Cedrap,2014-08-31,2015-08-30,A4,Verde,Não se aplica,R$/kW,5.52,0.0
1469,Cedrap,2014-08-31,2015-08-30,A4,Verde APE,Ponta,R$/MWh,689.18,0.0
1471,Cedrap,2014-08-31,2015-08-30,A4,Verde,Ponta,R$/MWh,700.28,91.68
1519,Cedrap,2015-08-31,2016-08-30,A4,Azul APE,Fora ponta,R$/kW,6.92,0.0
1521,Cedrap,2015-08-31,2016-08-30,A4,Azul,Fora ponta,R$/kW,6.92,0.0
1523,Cedrap,2015-08-31,2016-08-30,A4,Azul,Fora ponta,R$/MWh,187.52,69.1
1525,Cedrap,2015-08-31,2016-08-30,A4,Azul APE,Ponta,R$/kW,24.79,0.0
1527,Cedrap,2015-08-31,2016-08-30,A4,Azul,Ponta,R$/kW,24.79,0.0
1529,Cedrap,2015-08-31,2016-08-30,A4,Azul,Ponta,R$/MWh,284.33,118.34
1535,Cedrap,2015-08-31,2016-08-30,A4,Verde APE,Fora ponta,R$/MWh,126.93,0.0
1537,Cedrap,2015-08-31,2016-08-30,A4,Verde,Fora ponta,R$/MWh,187.52,69.1
1539,Cedrap,2015-08-31,2016-08-30,A4,Verde APE,Não se aplica,R$/kW,6.92,0.0
1541,Cedrap,2015-08-31,2016-08-30,A4,Verde,Não se aplica,R$/kW,6.92,0.0
1543,Cedrap,2015-08-31,2016-08-30,A4,Verde APE,Ponta,R$/MWh,819.73,0.0
1545,Cedrap,2015-08-31,2016-08-30,A4,Verde,Ponta,R$/MWh,880.32,118.34
1593,Cedri,2010-08-31,2011-08-30,A4,Azul APE,Fora ponta,R$/kW,12.86,0.0
1595,Cedri,2010-08-31,2011-08-30,A4,Azul,Fora ponta,R$/kW,12.86,0.0
1597,Cedri,2010-08-31,2011-08-30,A4,Azul,Fora ponta,R$/MWh,25.47,0.0
1600,Cedri,2010-08-31,2011-08-30,A4,Azul,Fora ponta seca,R$/MWh,25.47,189.52
1601,Cedri,2010-08-31,2011-08-30,A4,Azul,Fora ponta úmida,R$/MWh,25.47,109.97
1603,Cedri,2010-08-31,2011-08-30,A4,Azul APE,Ponta,R$/kW,54.12,0.0
1605,Cedri,2010-08-31,2011-08-30,A4,Azul,Ponta,R$/kW,54.12,0.0
1607,Cedri,2010-08-31,2011-08-30,A4,Azul,Ponta,R$/MWh,25.47,0.0
1609,Cedri,2010-08-31,2011-08-30,A4,Azul,Ponta seca,R$/MWh,25.47,212.13
1611,Cedri,2010-08-31,2011-08-30,A4,Azul,Ponta úmida,R$/MWh,25.47,123.08
1620,Cedri,2010-08-31,2011-08-30,A4,Verde,Fora ponta seca,R$/MWh,25.47,189.52
1621,Cedri,2010-08-31,2011-08-30,A4,Verde,Fora ponta úmida,R$/MWh,25.47,109.97
1623,Cedri,2010-08-31,2011-08-30,A4,Verde APE,Não se aplica,R$/kW,12.86,0.0
1625,Cedri,2010-08-31,2011-08-30,A4,Verde,Não se aplica,R$/kW,12.86,0.0
1627,Cedri,2010-08-31,2011-08-30,A4,Verde,Ponta seca,R$/MWh,1282.07,212.13
1629,Cedri,2010-08-31,2011-08-30,A4,Verde,Ponta úmida,R$/MWh,1282.07,123.08
1648,Cedri,2011-08-31,2013-07-18,A4,Azul APE,Fora ponta,R$/kW,14.48,0.0
1650,Cedri,2011-08-31,2013-07-18,A4,Azul,Fora ponta,R$/kW,14.48,0.0
1652,Cedri,2011-08-31,2013-07-18,A4,Azul,Fora ponta,R$/MWh,28.68,0.0
1654,Cedri,2011-08-31,2013-07-18,A4,Azul,Fora ponta seca,R$/MWh,28.68,138.56
1656,Cedri,2011-08-31,2013-07-18,A4,Azul,Fora ponta úmida,R$/MWh,28.68,123.8
1658,Cedri,2011-08-31,2013-07-18,A4,Azul APE,Ponta,R$/kW,60.92,0.0
1660,Cedri,2011-08-31,2013-07-18,A4,Azul,Ponta,R$/kW,60.92,0.0
1662,Cedri,2011-08-31,2013-07-18,A4,Azul,Ponta,R$/MWh,28.68,0.0
1664,Cedri,2011-08-31,2013-07-18,A4,Azul,Ponta seca,R$/MWh,28.68,238.8
1666,Cedri,2011-08-31,2013-07-18,A4,Azul,Ponta úmida,R$/MWh,28.68,213.36
1672,Cedri,2011-08-31,2013-07-18,A4,Verde,Fora ponta seca,R$/MWh,28.68,138.56
1674,Cedri,2011-08-31,2013-07-18,A4,Verde,Fora ponta úmida,R$/MWh,28.68,123.8
1676,Cedri,2011-08-31,2013-07-18,A4,Verde APE,Não se aplica,R$/kW,14.48,0.0
1678,Cedri,2011-08-31,2013-07-18,A4,Verde,Não se aplica,R$/kW,14.48,0.0
1680,Cedri,2011-08-31,2013-07-18,A4,Verde,Ponta seca,R$/MWh,1443.33,238.8
1682,Cedri,2011-08-31,2013-07-18,A4,Verde,Ponta úmida,R$/MWh,1443.33,213.36
1699,Cedri,2013-07-19,2013-08-30,A4,Azul APE,Fora ponta,R$/kW,11.87,0.0
1701,Cedri,2013-07-19,2013-08-30,A4,Azul,Fora ponta,R$/kW,11.87,0.0
1703,Cedri,2013-07-19,2013-08-30,A4,Azul,Fora ponta,R$/MWh,23.51,0.0
1705,Cedri,2013-07-19,2013-08-30,A4,Azul,Fora ponta seca,R$/MWh,23.51,113.62
1707,Cedri,2013-07-19,2013-08-30,A4,Azul,Fora ponta úmida,R$/MWh,23.51,101.52
1709,Cedri,2013-07-19,2013-08-30,A4,Azul APE,Ponta,R$/kW,49.95,0.0
1711,Cedri,2013-07-19,2013-08-30,A4,Azul,Ponta,R$/kW,49.95,0.0
1713,Cedri,2013-07-19,2013-08-30,A4,Azul,Ponta,R$/MWh,23.51,0.0
1715,Cedri,2013-07-19,2013-08-30,A4,Azul,Ponta seca,R$/MWh,23.51,195.82
1717,Cedri,2013-07-19,2013-08-30,A4,Azul,Ponta úmida,R$/MWh,23.51,174.96
1723,Cedri,2013-07-19,2013-08-30,A4,Verde,Fora ponta seca,R$/MWh,23.51,113.62
1725,Cedri,2013-07-19,2013-08-30,A4,Verde,Fora ponta úmida,R$/MWh,23.51,101.52
1727,Cedri,2013-07-19,2013-08-30,A4,Verde APE,Não se aplica,R$/kW,11.87,0.0
1729,Cedri,2013-07-19,2013-08-30,A4,Verde,Não se aplica,R$/kW,11.87,0.0
1731,Cedri,2013-07-19,2013-08-30,A4,Verde,Ponta seca,R$/MWh,1183.51,195.82
1733,Cedri,2013-07-19,2013-08-30,A4,Verde,Ponta úmida,R$/MWh,1183.51,174.96
1751,Cedri,2013-08-31,2014-08-30,A4,Azul APE,Fora ponta,R$/kW,12.24,0.0
1753,Cedri,2013-08-31,2014-08-30,A4,Azul,Fora ponta,R$/kW,12.24,0.0
1755,Cedri,2013-08-31,2014-08-30,A4,Azul,Fora ponta,R$/MWh,161.57,94.3
1757,Cedri,2013-08-31,2014-08-30,A4,Azul APE,Ponta,R$/kW,38.24,0.0
1759,Cedri,2013-08-31,2014-08-30,A4,Azul,Ponta,R$/kW,38.24,0.0
1761,Cedri,2013-08-31,2014-08-30,A4,Azul,Ponta,R$/MWh,248.45,161.46
1767,Cedri,2013-08-31,2014-08-30,A4,Verde APE,Fora ponta,R$/MWh,155.4,0.0
1769,Cedri,2013-08-31,2014-08-30,A4,Verde,Fora ponta,R$/MWh,161.57,94.3
1771,Cedri,2013-08-31,2014-08-30,A4,Verde APE,Não se aplica,R$/kW,12.24,0.0
1773,Cedri,2013-08-31,2014-08-30,A4,Verde,Não se aplica,R$/kW,12.24,0.0
1775,Cedri,2013-08-31,2014-08-30,A4,Verde APE,Ponta,R$/MWh,1161.89,0.0
1777,Cedri,2013-08-31,2014-08-30,A4,Verde,Ponta,R$/MWh,1168.06,161.46
1825,Cedri,2014-08-31,2015-08-30,A4,Azul APE,Fora ponta,R$/kW,13.75,0.0
1827,Cedri,2014-08-31,2015-08-30,A4,Azul,Fora ponta,R$/kW,13.75,0.0
1829,Cedri,2014-08-31,2015-08-30,A4,Azul,Fora ponta,R$/MWh,162.09,157.46
1831,Cedri,2014-08-31,2015-08-30,A4,Azul APE,Ponta,R$/kW,42.95,0.0
1833,Cedri,2014-08-31,2015-08-30,A4,Azul,Ponta,R$/kW,42.95,0.0
1835,Cedri,2014-08-31,2015-08-30,A4,Azul,Ponta,R$/MWh,243.09,269.62
1841,Cedri,2014-08-31,2015-08-30,A4,Verde APE,Fora ponta,R$/MWh,152.28,0.0
1843,Cedri,2014-08-31,2015-08-30,A4,Verde,Fora ponta,R$/MWh,162.09,157.46
1845,Cedri,2014-08-31,2015-08-30,A4,Verde APE,Não se aplica,R$/kW,13.75,0.0
1847,Cedri,2014-08-31,2015-08-30,A4,Verde,Não se aplica,R$/kW,13.75,0.0
1849,Cedri,2014-08-31,2015-08-30,A4,Verde APE,Ponta,R$/MWh,1266.36,0.0
1851,Cedri,2014-08-31,2015-08-30,A4,Verde,Ponta,R$/MWh,1276.16,269.62
